OrderID,OrderDate,CustomerID,ProductID,StoreID,Region,SalesAmount,Quantity,Discount,PaymentMode,SalesPerson,OrderStatus,Channel,ShippingCost,TaxAmount,DeliveryDays,CustomerRating,IsReturned,Profit
50066,2023-01-03 17:00:00,C1140,P156,S03,East,48472,2,10,Debit Card,Kiran,Pending,In-Store,1994,6925,6,4,No,8724
50067,2023-01-03 18:00:00,C1145,P185,S01,South,54297,2,20,Debit Card,Rahul,Cancelled,Online,583,7281,3,4,No,9773
50068,2023-01-03 19:00:00,C1424,P117,S04,West,88252,3,20,Cash,Rahul,Delivered,In-Store,118,4005,2,2,No,15885
50069,2023-01-03 20:00:00,C1313,P115,S02,West,64216,1,10,Cash,Neha,Delivered,In-Store,1838,5316,3,1,Yes,11558
50070,2023-01-03 21:00:00,C1183,P229,S01,East,79478,3,15,Cash,Rahul,Cancelled,In-Store,485,3287,2,3,No,14306
50071,2023-01-03 22:00:00,C1663,P112,S03,North,37534,2,5,Credit Card,Rahul,Cancelled,Online,806,6568,3,5,No,6756
50072,2023-01-03 23:00:00,C1712,P272,S03,North,42813,4,20,Debit Card,Anjali,Delivered,Online,1140,7358,5,2,No,7706
50073,2023-01-04 00:00:00,C1127,P179,S03,West,53782,2,20,Debit Card,Rahul,Delivered,In-Store,329,6487,3,5,No,9680
50074,2023-01-04 01:00:00,C1286,P299,S03,West,59068,1,0,Credit Card,Neha,Cancelled,In-Store,554,6873,4,4,No,10632
50075,2023-01-04 02:00:00,C1822,P142,S04,East,49635,2,20,UPI,Neha,Cancelled,In-Store,397,6484,4,2,No,8934
50076,2023-01-04 03:00:00,C1252,P299,S02,East,26608,2,0,UPI,Neha,Delivered,Online,1760,3556,0,4,No,4789
50077,2023-01-04 04:00:00,C1777,P153,S04,South,16370,3,10,Debit Card,Aman,Cancelled,In-Store,1414,8425,1,4,No,2946
50078,2023-01-04 05:00:00,C1699,P258,S02,East,61161,1,15,Cash,Kiran,Cancelled,Online,1025,7753,6,1,No,11008
50079,2023-01-04 06:00:00,C1385,P236,S01,East,75475,3,0,Credit Card,Rahul,Delivered,In-Store,316,9748,5,5,No,13585
50080,2023-01-04 07:00:00,C1229,P172,S01,North,64328,4,0,Credit Card,Aman,Delivered,In-Store,1975,1480,4,4,No,11579
50081,2023-01-04 08:00:00,C1270,P147,S02,North,6421,4,5,Cash,Neha,Cancelled,In-Store,740,1117,2,3,No,1155
50082,2023-01-04 09:00:00,C1770,P117,S03,North,20395,1,10,Cash,Neha,Pending,In-Store,663,5171,6,4,No,3671
50083,2023-01-04 10:00:00,C1810,P110,S01,North,29715,4,0,Cash,Neha,Cancelled,Online,622,4715,2,5,No,5348
50084,2023-01-04 11:00:00,C1414,P289,S04,East,32856,4,0,Debit Card,Rahul,Cancelled,In-Store,1577,9106,5,5,No,5914
50085,2023-01-04 12:00:00,C1197,P183,S02,West,13961,2,10,Cash,Aman,Pending,In-Store,643,8611,3,3,No,2512
50086,2023-01-04 13:00:00,C1322,P118,S01,North,24756,3,20,Credit Card,Aman,Pending,Online,221,2899,5,3,No,4456
50087,2023-01-04 14:00:00,C1055,P199,S02,South,23383,3,15,Cash,Anjali,Pending,In-Store,1083,5908,1,1,No,4208
50088,2023-01-04 15:00:00,C1830,P215,S03,South,49416,3,10,UPI,Kiran,Pending,In-Store,808,6137,3,5,No,8894
50089,2023-01-04 16:00:00,C1202,P189,S02,East,31171,1,5,Debit Card,Neha,Cancelled,Online,509,7492,1,1,No,5610
50090,2023-01-04 17:00:00,C1782,P173,S01,South,41427,2,5,Cash,Anjali,Pending,Online,290,5492,3,3,No,7456
50091,2023-01-04 18:00:00,C1620,P123,S02,North,39784,2,15,Cash,Rahul,Delivered,Online,1618,2190,1,3,No,7161
50092,2023-01-04 19:00:00,C1627,P112,S01,West,69519,1,5,Debit Card,Anjali,Cancelled,In-Store,1265,8284,4,2,No,12513
50093,2023-01-04 20:00:00,C1603,P224,S01,West,10630,3,10,Cash,Neha,Delivered,In-Store,832,5420,4,4,No,1913
50094,2023-01-04 21:00:00,C1137,P215,S01,North,72193,2,20,UPI,Anjali,Delivered,In-Store,1021,8329,4,1,No,12994
50095,2023-01-04 22:00:00,C1421,P273,S04,South,39626,2,5,Credit Card,Neha,Cancelled,Online,1251,9922,6,2,No,7132
50096,2023-01-04 23:00:00,C1814,P280,S03,East,71175,3,10,UPI,Anjali,Cancelled,In-Store,1706,1164,4,2,Yes,12811
50097,2023-01-05 00:00:00,C1056,P256,S03,West,17811,4,5,UPI,Neha,Cancelled,Online,1334,9539,5,2,No,3205
50098,2023-01-05 01:00:00,C1561,P263,S02,North,51389,1,0,Credit Card,Aman,Pending,Online,1970,2790,6,3,No,9250
50099,2023-01-05 02:00:00,C1070,P170,S02,North,14132,2,0,UPI,Anjali,Pending,Online,855,4228,0,2,No,2543
50100,2023-01-05 03:00:00,C1910,P225,S01,South,3538,3,20,Credit Card,Aman,Delivered,In-Store,659,602,2,4,No,636
50101,2023-01-05 04:00:00,C1913,P244,S03,East,7719,4,0,Cash,Kiran,Cancelled,In-Store,573,2918,4,2,No,1389
50102,2023-01-05 05:00:00,C1593,P275,S02,East,72536,3,0,Debit Card,Kiran,Delivered,Online,335,2908,4,5,No,13056
50103,2023-01-05 06:00:00,C1371,P251,S02,South,18605,3,5,Credit Card,Kiran,Delivered,Online,1852,1110,6,2,No,3348
50104,2023-01-05 07:00:00,C1616,P281,S03,North,29778,4,5,UPI,Anjali,Pending,Online,122,8272,0,3,No,5360
50105,2023-01-05 08:00:00,C1599,P218,S01,South,28495,1,15,Cash,Kiran,Cancelled,Online,1117,3781,2,3,No,5129
50106,2023-01-05 09:00:00,C1513,P190,S02,South,3325,2,20,UPI,Aman,Pending,Online,223,3045,3,5,No,598
50107,2023-01-05 10:00:00,C1871,P184,S01,South,23554,1,0,Cash,Aman,Pending,In-Store,1656,9848,2,5,No,4239
50108,2023-01-05 11:00:00,C1083,P207,S03,North,44194,1,15,UPI,Kiran,Pending,Online,1794,9726,1,5,No,7954
50109,2023-01-05 12:00:00,C1993,P226,S03,West,41678,3,5,Cash,Kiran,Pending,In-Store,1765,669,3,3,Yes,7502
50110,2023-01-05 13:00:00,C1042,P220,S02,North,17288,3,15,Cash,Rahul,Cancelled,Online,496,5220,6,4,No,3111
50111,2023-01-05 14:00:00,C1665,P228,S02,West,13577,3,0,UPI,Rahul,Pending,Online,75,2135,3,2,Yes,2443
50112,2023-01-05 15:00:00,C1838,P294,S03,West,59698,1,15,UPI,Anjali,Delivered,Online,1356,6648,6,5,No,10745
50113,2023-01-05 16:00:00,C1933,P105,S01,South,31513,2,10,Cash,Rahul,Pending,Online,1042,4829,1,2,No,5672
50114,2023-01-05 17:00:00,C1605,P177,S01,East,72194,3,20,UPI,Aman,Pending,Online,344,3171,4,2,No,12994
50115,2023-01-05 18:00:00,C1809,P282,S04,South,86841,4,0,UPI,Aman,Pending,In-Store,438,5004,2,1,No,15631
50116,2023-01-05 19:00:00,C1132,P137,S03,North,53349,2,10,Cash,Anjali,Cancelled,In-Store,1558,5118,1,2,No,9602
50117,2023-01-05 20:00:00,C1394,P260,S02,East,38334,2,15,Debit Card,Anjali,Pending,Online,1786,3769,2,1,No,6900
50118,2023-01-05 21:00:00,C1064,P215,S03,East,76063,2,0,Credit Card,Neha,Pending,In-Store,1288,2905,5,3,No,13691
50119,2023-01-05 22:00:00,C1289,P201,S02,North,33425,4,15,Cash,Rahul,Delivered,Online,1837,7776,3,2,No,6016
50120,2023-01-05 23:00:00,C1375,P107,S01,North,22795,4,20,Credit Card,Neha,Pending,In-Store,1807,9057,3,4,No,4103
50121,2023-01-06 00:00:00,C1768,P177,S02,South,28753,3,20,Debit Card,Kiran,Pending,In-Store,1621,9161,4,2,No,5175
50122,2023-01-06 01:00:00,C1466,P211,S04,North,73957,2,5,UPI,Aman,Cancelled,Online,562,2539,5,4,No,13312
50123,2023-01-06 02:00:00,C1897,P247,S01,West,47353,1,10,Credit Card,Anjali,Pending,Online,1125,673,4,3,Yes,8523
50124,2023-01-06 03:00:00,C1212,P154,S04,West,17689,1,20,UPI,Kiran,Pending,In-Store,825,4068,1,5,No,3184
50125,2023-01-06 04:00:00,C1147,P147,S03,East,43654,1,10,Cash,Neha,Pending,Online,1842,9878,2,3,No,7857
50126,2023-01-06 05:00:00,C1572,P283,S02,South,82923,3,15,Cash,Kiran,Delivered,Online,1915,3662,5,3,No,14926
50127,2023-01-06 06:00:00,C1470,P187,S01,South,5683,1,10,Debit Card,Kiran,Pending,In-Store,1336,2134,4,5,No,1022
50128,2023-01-06 07:00:00,C1148,P109,S02,East,19523,2,0,Cash,Anjali,Cancelled,In-Store,983,5415,6,4,Yes,3514
50129,2023-01-06 08:00:00,C1087,P151,S04,North,9457,3,5,UPI,Rahul,Cancelled,In-Store,364,4800,2,5,No,1702
50130,2023-01-06 09:00:00,C1323,P277,S01,South,17120,3,10,UPI,Anjali,Delivered,In-Store,1901,9396,0,1,No,3081
50131,2023-01-06 10:00:00,C1894,P133,S04,East,4991,4,10,Debit Card,Anjali,Pending,In-Store,372,4391,1,1,No,898
50132,2023-01-06 11:00:00,C1395,P263,S01,East,39228,2,20,UPI,Rahul,Delivered,Online,539,4165,6,3,No,7061
50133,2023-01-06 12:00:00,C1789,P160,S03,West,65150,1,0,Cash,Rahul,Pending,Online,312,1379,5,3,No,11727
50134,2023-01-06 13:00:00,C1403,P243,S03,East,35067,2,20,UPI,Anjali,Cancelled,Online,1454,3394,2,2,No,6312
50135,2023-01-06 14:00:00,C1081,P178,S02,North,3887,2,10,Debit Card,Rahul,Pending,Online,313,2484,4,3,No,699
50136,2023-01-06 15:00:00,C1640,P117,S04,North,16525,3,15,Credit Card,Aman,Delivered,Online,83,7826,6,2,No,2974
50137,2023-01-06 16:00:00,C1285,P170,S04,North,1946,1,20,Cash,Kiran,Delivered,Online,1753,5864,4,5,No,350
50138,2023-01-06 17:00:00,C1381,P274,S01,North,27110,1,20,Debit Card,Kiran,Cancelled,Online,859,1236,5,5,No,4879
50139,2023-01-06 18:00:00,C1864,P185,S03,East,37481,1,0,UPI,Neha,Delivered,Online,1837,7119,2,1,No,6746
50140,2023-01-06 19:00:00,C1791,P131,S02,South,29809,4,20,UPI,Anjali,Cancelled,In-Store,1191,8281,3,1,No,5365
50141,2023-01-06 20:00:00,C1269,P142,S03,East,59888,2,20,Debit Card,Kiran,Cancelled,Online,785,1747,6,1,No,10779
50142,2023-01-06 21:00:00,C1291,P182,S04,South,30934,3,5,Credit Card,Kiran,Delivered,In-Store,1489,7608,0,3,No,5568
50143,2023-01-06 22:00:00,C1452,P267,S02,South,34726,3,10,Debit Card,Kiran,Cancelled,Online,1055,4110,1,2,No,6250
50144,2023-01-06 23:00:00,C1714,P292,S03,South,71334,3,0,Cash,Rahul,Delivered,Online,652,9391,2,5,No,12840
50145,2023-01-07 00:00:00,C1023,P262,S03,West,18906,1,20,Debit Card,Rahul,Pending,In-Store,1598,1252,6,5,No,3403
50146,2023-01-07 01:00:00,C1955,P168,S01,North,35216,1,10,Debit Card,Kiran,Cancelled,Online,411,2931,4,4,No,6338
50147,2023-01-07 02:00:00,C1862,P149,S01,West,23489,3,0,Credit Card,Aman,Pending,Online,1446,4777,6,5,No,4228
50148,2023-01-07 03:00:00,C1310,P111,S04,East,43080,2,20,UPI,Rahul,Pending,Online,1768,4025,1,1,No,7754
50149,2023-01-07 04:00:00,C1460,P184,S03,West,46231,3,15,UPI,Kiran,Cancelled,In-Store,1957,688,2,3,No,8321
50150,2023-01-07 05:00:00,C1207,P222,S01,South,78041,2,5,Credit Card,Neha,Delivered,In-Store,1725,95,4,3,No,14047
50151,2023-01-07 06:00:00,C1791,P157,S03,East,7361,3,0,Cash,Kiran,Delivered,In-Store,818,9146,5,4,No,1324
50152,2023-01-07 07:00:00,C1716,P182,S02,North,40539,2,15,Debit Card,Anjali,Pending,In-Store,1670,7563,0,5,No,7297
50153,2023-01-07 08:00:00,C1663,P290,S03,South,10853,3,0,Debit Card,Kiran,Delivered,Online,172,5211,6,3,No,1953
50154,2023-01-07 09:00:00,C1437,P276,S03,North,16130,4,0,UPI,Anjali,Cancelled,Online,1976,2182,5,4,No,2903
50155,2023-01-07 10:00:00,C1537,P211,S04,West,64550,4,5,Credit Card,Neha,Pending,In-Store,955,7919,2,4,No,11619
50156,2023-01-07 11:00:00,C1705,P227,S02,North,59601,1,15,Cash,Neha,Delivered,In-Store,1538,9685,2,2,Yes,10728
50157,2023-01-07 12:00:00,C1335,P135,S02,East,70754,1,20,UPI,Aman,Delivered,In-Store,1327,2644,1,2,No,12735
50158,2023-01-07 13:00:00,C1421,P153,S01,South,17407,1,10,Credit Card,Kiran,Pending,In-Store,214,1491,1,4,No,3133
50159,2023-01-07 14:00:00,C1749,P146,S02,North,4984,1,15,Credit Card,Rahul,Delivered,In-Store,1505,9418,4,5,No,897
50160,2023-01-07 15:00:00,C1320,P214,S04,West,23694,3,0,Cash,Aman,Delivered,In-Store,830,5784,3,5,No,4264
50161,2023-01-07 16:00:00,C1496,P259,S01,East,24386,4,15,Debit Card,Aman,Pending,Online,200,3636,0,3,No,4389
50162,2023-01-07 17:00:00,C1586,P223,S03,South,9037,1,10,UPI,Anjali,Pending,Online,546,549,4,3,Yes,1626
50163,2023-01-07 18:00:00,C1946,P280,S02,West,23899,2,15,Cash,Aman,Cancelled,Online,362,3892,5,1,No,4301
50164,2023-01-07 19:00:00,C1162,P259,S03,South,89691,2,10,Debit Card,Aman,Pending,Online,1293,709,5,1,No,16144
50165,2023-01-07 20:00:00,C1810,P289,S01,North,7392,1,5,Cash,Aman,Pending,Online,283,1937,4,1,No,1330
50166,2023-01-07 21:00:00,C1540,P264,S02,West,41044,1,0,Debit Card,Anjali,Pending,Online,1860,4670,1,5,No,7387
50167,2023-01-07 22:00:00,C1164,P195,S01,West,19767,1,20,UPI,Neha,Cancelled,Online,1617,3707,4,5,No,3558
50168,2023-01-07 23:00:00,C1848,P206,S01,North,40896,3,15,UPI,Aman,Pending,In-Store,699,2686,6,4,No,7361
50169,2023-01-08 00:00:00,C1697,P219,S02,West,31840,2,5,Cash,Neha,Pending,In-Store,899,5909,6,4,No,5731
50170,2023-01-08 01:00:00,C1565,P200,S02,West,43904,2,15,Cash,Neha,Pending,In-Store,1977,1180,6,3,Yes,7902
50171,2023-01-08 02:00:00,C1294,P202,S01,West,36728,2,5,Debit Card,Anjali,Pending,In-Store,1473,7742,5,3,No,6611
50172,2023-01-08 03:00:00,C1041,P265,S04,North,52236,4,10,Debit Card,Neha,Cancelled,Online,1445,1096,0,1,No,9402
50173,2023-01-08 04:00:00,C1923,P257,S02,North,75384,3,5,UPI,Anjali,Delivered,Online,1236,100,2,4,No,13569
50174,2023-01-08 05:00:00,C1284,P285,S01,South,16137,4,10,Credit Card,Aman,Cancelled,In-Store,797,5340,3,4,No,2904
50175,2023-01-08 06:00:00,C1938,P131,S03,North,77260,3,5,Credit Card,Rahul,Delivered,Online,1431,9892,6,1,No,13906
50176,2023-01-08 07:00:00,C1386,P165,S03,West,46680,2,15,Debit Card,Anjali,Delivered,Online,1899,1703,3,2,No,8402
50177,2023-01-08 08:00:00,C1137,P278,S02,North,56199,2,20,Debit Card,Rahul,Cancelled,Online,290,7307,2,5,No,10115
50178,2023-01-08 09:00:00,C1186,P110,S02,West,67343,4,0,UPI,Aman,Delivered,Online,1794,4089,1,3,No,12121
50179,2023-01-08 10:00:00,C1909,P286,S03,West,81672,2,20,Credit Card,Rahul,Pending,In-Store,1505,6096,5,3,No,14700
50180,2023-01-08 11:00:00,C1715,P247,S01,West,78462,1,5,Credit Card,Kiran,Pending,In-Store,481,9105,6,5,No,14123
50181,2023-01-08 12:00:00,C1430,P136,S01,North,16080,3,10,Cash,Kiran,Cancelled,Online,936,7419,6,5,No,2894
50182,2023-01-08 13:00:00,C1553,P201,S01,West,68888,2,15,Cash,Aman,Delivered,In-Store,584,851,4,1,Yes,12399
50183,2023-01-08 14:00:00,C1861,P148,S04,South,51876,1,0,Cash,Neha,Pending,Online,1739,9766,3,4,No,9337
50184,2023-01-08 15:00:00,C1415,P118,S02,East,36712,4,0,Debit Card,Neha,Cancelled,Online,921,7298,1,4,No,6608
50185,2023-01-08 16:00:00,C1799,P282,S04,East,65720,2,15,Credit Card,Anjali,Cancelled,Online,360,8590,4,5,Yes,11829
50186,2023-01-08 17:00:00,C1425,P267,S04,South,47904,2,5,Cash,Kiran,Delivered,Online,1185,4659,3,4,No,8622
50187,2023-01-08 18:00:00,C1415,P106,S04,East,50903,3,0,Debit Card,Anjali,Delivered,In-Store,1062,4654,3,5,No,9162
50188,2023-01-08 19:00:00,C1025,P232,S04,South,26747,2,15,Credit Card,Aman,Cancelled,In-Store,811,5963,2,5,No,4814
50189,2023-01-08 20:00:00,C1370,P141,S01,North,83815,3,5,Credit Card,Rahul,Delivered,Online,72,1434,1,4,No,15086
50190,2023-01-08 21:00:00,C1384,P187,S02,East,70777,4,15,Cash,Kiran,Pending,In-Store,995,1936,0,5,No,12739
50191,2023-01-08 22:00:00,C1055,P275,S02,South,48002,3,0,UPI,Neha,Cancelled,Online,1480,5095,3,4,No,8640
50192,2023-01-08 23:00:00,C1252,P234,S04,South,83176,4,20,Credit Card,Anjali,Cancelled,Online,231,1039,4,1,No,14971
50193,2023-01-09 00:00:00,C1633,P110,S02,West,27107,2,0,Credit Card,Rahul,Cancelled,In-Store,1070,3608,1,5,No,4879
50194,2023-01-09 01:00:00,C1105,P276,S03,North,85040,1,0,UPI,Neha,Cancelled,In-Store,1641,1986,6,3,No,15307
50195,2023-01-09 02:00:00,C1129,P257,S01,South,64043,4,20,Cash,Neha,Pending,Online,478,277,5,1,No,11527
50196,2023-01-09 03:00:00,C1848,P140,S02,East,47501,2,5,Credit Card,Aman,Delivered,In-Store,376,7490,5,2,No,8550
50197,2023-01-09 04:00:00,C1669,P102,S01,West,78794,4,15,UPI,Neha,Delivered,In-Store,573,3594,5,2,No,14182
50198,2023-01-09 05:00:00,C1375,P139,S03,West,42691,2,5,UPI,Neha,Delivered,Online,808,3014,3,5,No,7684
50199,2023-01-09 06:00:00,C1742,P150,S01,West,57457,2,5,UPI,Neha,Delivered,In-Store,1735,1313,5,5,No,10342
50200,2023-01-09 07:00:00,C1966,P131,S03,North,81114,1,15,Cash,Rahul,Delivered,In-Store,1986,7524,5,3,No,14600
50201,2023-01-09 08:00:00,C1307,P147,S04,South,33302,3,5,UPI,Rahul,Cancelled,Online,126,9454,0,1,Yes,5994
50202,2023-01-09 09:00:00,C1090,P170,S02,North,46531,1,10,Debit Card,Neha,Delivered,In-Store,407,8095,0,1,No,8375
